,OAR,rad_radiographer,stseg_radiographer,dm_oncologist,dm_radiographer,pddca_radiographer,hn1_radiographer,hn3d_radiographer,hnscc_radiographer
0,BSTEM,0.84±0.05,0.78±0.04,0.77±0.05,0.8±0.04,0.74±0.09,,0.8±0.05,0.72±0.18
1,CHIASM,0.4±0.18,0.33±0.17,,,0.29±0.09,,0.27±0.21,0.4±0.24
2,ESOPH,0.83±0.07,,,,,,0.53±0.21,0.69±0.12
3,LACOU,0.79±0.17,0.59±0.1,,,,0.08±0.08,0.18±0.08,0.32±0.19
4,LARYNX,0.88±0.06,,,,,,0.66±0.14,0.39±0.25
5,LEYE,0.91±0.12,0.84±0.04,0.8±0.03,0.83±0.03,,,0.83±0.05,0.81±0.09
6,LIPS,0.76±0.13,,,,,,0.45±0.05,0.25±nan
7,LLENS,0.79±0.12,0.68±0.09,0.57±0.07,0.62±0.1,,,0.55±0.16,0.72±0.17
8,LOPTIC,0.78±0.09,0.53±0.1,0.55±0.05,0.55±0.06,0.5±0.06,,0.54±0.12,0.54±0.18
9,LPAR,0.85±0.06,0.86±0.04,0.84±0.04,0.84±0.04,0.85±0.06,0.78±0.09,0.78±0.1,0.77±0.1
10,LPLEX,0.72±0.13,,,,,,,
11,MAND,0.93±0.03,0.86±0.04,0.89±0.03,0.92±0.02,0.82±0.03,,0.82±0.06,0.85±0.05
12,RACOU,0.8±0.17,0.63±0.06,,,,0.08±0.04,0.17±0.09,0.32±0.15
13,REYE,0.9±0.11,0.85±0.03,0.82±0.03,0.84±0.03,,,0.83±0.05,0.84±0.03
14,RLENS,0.82±0.12,0.68±0.1,0.58±0.09,0.62±0.09,,,,0.7±0.17
15,ROPTIC,0.76±0.09,0.51±0.11,0.55±0.07,0.58±0.06,0.47±0.07,,0.55±0.16,0.61±0.2
16,RPAR,0.86±0.12,0.86±0.04,0.85±0.04,0.86±0.04,0.84±0.06,0.78±0.07,0.81±0.09,0.8±0.07
17,RPLEX,0.72±0.14,,,,,,,
18,SPCOR,0.86±0.05,0.68±0.07,0.66±0.07,0.7±0.04,,0.73±0.09,0.77±0.09,0.77±0.12
